external_id,source_id,subject,subject_slug,chapter_num,chapter_slug,chapter_title,node_kind,statement,option_a,option_b,option_c,option_d,option_e,correct_option,explanation,difficulty,flag_for_review,source,tests
pu-verbal-reasoning-ch1-q1,p010-q1,Verbal Reasoning,pu-verbal-reasoning,1,analogy,Analogy,topic,Jesus is related to Christians in the same way as Zoroaster is related to ___?,Jews,Parsis,Tribals,Catholics,,b,"Zoroaster is the prophet of the Parsis (Zoroastrians), just as Jesus is central to Christians. Prophet-to-followers relationship.",easy,,pu-dogar,pu-e:past_paper;pu-m:past_paper;pu-ahs:past_paper;pu-csp:past_paper;pu-css:past_paper;pu-cse:past_paper;pu-gs:past_paper;pu-com:past_paper
pu-verbal-reasoning-ch1-q2,p010-q2,Verbal Reasoning,pu-verbal-reasoning,1,analogy,Analogy,topic,South is related to North-West in the same way as West is related to ___?,South-West,East,North-East,South,,c,The second term is the direction 135 degrees clockwise from the first; by the same rotation West maps to North-East.,medium,,pu-dogar,pu-e:past_paper;pu-m:past_paper;pu-ahs:past_paper;pu-csp:past_paper;pu-css:past_paper;pu-cse:past_paper;pu-gs:past_paper;pu-com:past_paper
pu-verbal-reasoning-ch1-q3,p010-q3,Verbal Reasoning,pu-verbal-reasoning,1,analogy,Analogy,topic,Summit is related to Apex in the same way as Summon is related to ___?,Court,Judge,Witness,Beckon,,d,Summit and Apex are synonyms (highest point); Summon and Beckon are synonyms (to call someone).,easy,,pu-dogar,pu-e:past_paper;pu-m:past_paper;pu-ahs:past_paper;pu-csp:past_paper;pu-css:past_paper;pu-cse:past_paper;pu-gs:past_paper;pu-com:past_paper
pu-verbal-reasoning-ch1-q4,p010-q4,Verbal Reasoning,pu-verbal-reasoning,1,analogy,Analogy,topic,Distil is related to Whisky in the same way as Brew is related to ___?,Ferment,Gin,Beer,Sugar,,c,Distilling produces whisky; brewing produces beer. Process-to-product relationship.,medium,,pu-dogar,pu-e:past_paper;pu-m:past_paper;pu-ahs:past_paper;pu-csp:past_paper;pu-css:past_paper;pu-cse:past_paper;pu-gs:past_paper;pu-com:past_paper
pu-verbal-reasoning-ch1-q5,p010-q5,Verbal Reasoning,pu-verbal-reasoning,1,analogy,Analogy,topic,DDT is related to Abbreviation in the same way as LASER is related to ___?,Antithesis,Acronym,Epigram,Epithet,,b,DDT is an abbreviation (spelled out); LASER is an acronym (pronounced as a word).,medium,,pu-dogar,pu-e:past_paper;pu-m:past_paper;pu-ahs:past_paper;pu-csp:past_paper;pu-css:past_paper;pu-cse:past_paper;pu-gs:past_paper;pu-com:past_paper
pu-verbal-reasoning-ch2-q1,p011-q6,Verbal Reasoning,pu-verbal-reasoning,2,synonyms,Synonyms,topic,Choose the synonym of STRIDENCY:,Harshness,Flippant,Consistency,Stress,,a,"Stridency means a harsh, grating quality of sound; its synonym is harshness.",medium,,pu-dogar,pu-e:past_paper;pu-m:past_paper;pu-ahs:past_paper;pu-csp:past_paper;pu-css:past_paper;pu-cse:past_paper;pu-gs:past_paper;pu-com:past_paper
pu-verbal-reasoning-ch2-q2,p011-q7,Verbal Reasoning,pu-verbal-reasoning,2,synonyms,Synonyms,topic,Choose the synonym of ACUTE:,Curious,Severe,Accidental,Rice,,b,Acute means intense or severe (as in acute pain); synonym is severe.,easy,,pu-dogar,pu-e:past_paper;pu-m:past_paper;pu-ahs:past_paper;pu-csp:past_paper;pu-css:past_paper;pu-cse:past_paper;pu-gs:past_paper;pu-com:past_paper
pu-verbal-reasoning-ch4-q1,p011-q10,Verbal Reasoning,pu-verbal-reasoning,4,sentence-completion,Sentence Completion,topic,Stop taking drugs lest you ___ caught.,Might be caught,Will be caught,May be caught,Would be caught,,a,Lest' is followed by 'should/might' + base verb; 'might be caught' is correct.,medium,,pu-dogar,pu-e:past_paper;pu-m:past_paper;pu-ahs:past_paper;pu-csp:past_paper;pu-css:past_paper;pu-cse:past_paper;pu-gs:past_paper;pu-com:past_paper
pu-verbal-reasoning-ch4-q2,p011-q11,Verbal Reasoning,pu-verbal-reasoning,4,sentence-completion,Sentence Completion,topic,It is ___ to me whether he lives in Karachi or Hyderabad.,All but one,All one,One and the same,All or one,,c,The idiom 'one and the same' means it makes no difference.,medium,,pu-dogar,pu-e:past_paper;pu-m:past_paper;pu-ahs:past_paper;pu-csp:past_paper;pu-css:past_paper;pu-cse:past_paper;pu-gs:past_paper;pu-com:past_paper
pu-verbal-reasoning-ch4-q3,p011-q12,Verbal Reasoning,pu-verbal-reasoning,4,sentence-completion,Sentence Completion,topic,"In his lecture, he dealt ___ the cause of the Gulf War.",With,On,For,No improvement,,a,Deal with' is the correct collocation meaning to address a topic.,easy,,pu-dogar,pu-e:past_paper;pu-m:past_paper;pu-ahs:past_paper;pu-csp:past_paper;pu-css:past_paper;pu-cse:past_paper;pu-gs:past_paper;pu-com:past_paper
