"external_id","source_id","subject","subject_slug","chapter_num","chapter_slug","chapter_title","node_kind","statement","option_a","option_b","option_c","option_d","correct_option","explanation","difficulty","flag_for_review","source","tests"
"maths-ch1-q1","ch1-q1","Mathematics","maths","1","number-systems","Number Systems","chapter","Modulus of iota (i) is equal to:","0","1","-1","i","b","Modulus of a complex number = sqrt(x^2 + y^2), where x is the real part and y is the imaginary part. For iota, the real part is 0 and the imaginary part is 1, so modulus = sqrt(0^2 + 1^2) = 1.","easy","","oetp","net:past_paper"
"maths-ch1-q2","ch1-q2","Mathematics","maths","1","number-systems","Number Systems","chapter","Additive inverse of a complex number (a, b) is written as:","(-a, b)","(a, -b)","(-a, -b)","(1/a, 1/b)","c","Every complex number (a, b) has the additive inverse (-a, -b), since (a, b) + (-a, -b) = (0, 0).","easy","","oetp","net:past_paper"
"maths-ch1-q3","ch1-q3","Mathematics","maths","1","number-systems","Number Systems","chapter","If a > b, then according to the addition property of inequalities, a + c ___ c + b:",">","<","=","None of these","a","Adding the same quantity to both sides of an inequality preserves its direction. Since a > b, adding c (and b respectively) keeps a + c > c + b.","medium","","oetp","net:past_paper"
"maths-ch1-q4","ch1-q4","Mathematics","maths","1","number-systems","Number Systems","chapter","What is the area of a rectangular room with length 5 - 3i and width 2i?","6 + 10i","5 - 1","16","8","a","Area = Length x Width = (5 - 3i)(2i) = 10i - 6i^2 = 10i + 6 = 6 + 10i.","medium","","oetp","net:past_paper"
"maths-ch1-q5","ch1-q5","Mathematics","maths","1","number-systems","Number Systems","chapter","Real component of (4 - i)^2 is:","8","15","23","7","b","(4 - i)^2 = 16 + i^2 - 8i = 16 - 1 - 8i = 15 - 8i. The real part is 15 and the imaginary part is -8i.","medium","","oetp","net:past_paper"
"maths-ch1-q6","ch1-q6","Mathematics","maths","1","number-systems","Number Systems","chapter","Real part of (2 - 3i)^6 is:","-2035","2035","828","132","b","(2 - 3i)^6 = ((2 - 3i)^2)^3. (2 - 3i)^2 = 4 + 9i^2 - 12i = -5 - 12i. Cubing -(5 + 12i) gives 2035 + 828i, so the real part is 2035.","hard","","oetp","net:past_paper"
"maths-ch1-q7","ch1-q7","Mathematics","maths","1","number-systems","Number Systems","chapter","Additive inverse of 2 + sqrt(3) i is:","2 - sqrt(3) i","-2 + sqrt(3) i","-2 - sqrt(3) i","-0.5 - sqrt(3) i","c","The additive inverse of a + bi is -a - bi. For 2 + sqrt(3) i, the additive inverse is -2 - sqrt(3) i, since their sum is 0.","easy","","oetp","net:past_paper"
"maths-ch1-q8","ch1-q8","Mathematics","maths","1","number-systems","Number Systems","chapter","What is the real component of the complex number (4 - i)^2?","-8","17","15","None of these","c","(4 - i)^2 = 16 + i^2 - 8i = 15 - 8i. The real component is 15.","medium","","oetp","net:past_paper"
"maths-ch1-q9","ch1-q9","Mathematics","maths","1","number-systems","Number Systems","chapter","Iota (i) expressed in the form of coordinates is:","(0, 1)","(1, 0)","(0, 0)","It is impossible to express a complex number in the form of coordinates","a","A complex number x + iy is written as the ordered pair (x, y). Iota = 0 + 1i, so it is (0, 1).","easy","","oetp","net:past_paper"
"maths-ch1-q10","ch1-q10","Mathematics","maths","1","number-systems","Number Systems","chapter","Which one of the following is the real part of the complex number 6(2 - 3i)?","2","12","-3","6","b","6(2 - 3i) = 12 - 18i. The real part is 12.","easy","","oetp","net:past_paper"
"maths-ch1-q11","ch1-q11","Mathematics","maths","1","number-systems","Number Systems","chapter","Simplify the expression (1 + i)^8:","-16","16","4","8","b","(1 + i)^8 = ((1 + i)^2)^4. Since (1 + i)^2 = 1 + 2i + i^2 = 2i, we get (2i)^4 = 16 i^4 = 16(1) = 16.","hard","","oetp","net:past_paper"
"maths-ch1-q12","ch1-q12","Mathematics","maths","1","number-systems","Number Systems","chapter","Additive identity of a complex number is:","(1, 0)","(0, 1)","(0, 0)","All of these","c","The additive identity of complex numbers is (0, 0). Adding it to any complex number leaves the number unchanged. (Note: (1, 0) is the multiplicative identity.)","easy","","oetp","net:past_paper"
"maths-ch1-q13","ch1-q13","Mathematics","maths","1","number-systems","Number Systems","chapter","Find the imaginary part of (2 + 3i)^3:","44i","9i","-46","-27i","b","Using (a + b)^3 = a^3 + b^3 + 3ab(a + b): (2 + 3i)^3 = 8 + 27i^3 + 18i(2 + 3i) = -46 + 9i. The imaginary part is 9i.","hard","","oetp","net:past_paper"
"maths-ch1-q14","ch1-q14","Mathematics","maths","1","number-systems","Number Systems","chapter","If a > b, then ax > bx when x is:","< 1","= 0","> 0","< 0","c","Multiplying an inequality by a positive number preserves its direction. For ax > bx to remain true (same direction as a > b), x must be positive (x > 0). Multiplying by a negative number would flip the sign.","medium","","oetp","net:past_paper"
"maths-ch1-q15","ch1-q15","Mathematics","maths","1","number-systems","Number Systems","chapter","If a and b are two non-negative numbers such that a < b, then 1/a - 1/b is:","> 0","< 0","= 0","None of these","a","1/a - 1/b = (b - a)/(ab). Since a < b, the numerator (b - a) is positive, and the denominator (ab, a product of two positive numbers) is positive. A positive divided by a positive is positive, so the expression is greater than 0.","medium","","oetp","net:past_paper"
"maths-ch1-q16","ch1-q16","Mathematics","maths","1","number-systems","Number Systems","chapter","If a and b are two non-negative numbers such that a > b, then 1/a - 1/b is:","> 0","< 0","= 0","None of these","b","1/a - 1/b = (b - a)/(ab). Since a > b, the numerator (b - a) is negative, while the denominator (ab) is positive. A negative divided by a positive is negative, so the expression is less than 0.","medium","","oetp","net:past_paper"
"maths-ch1-q17","ch1-q17","Mathematics","maths","1","number-systems","Number Systems","chapter","Associative property of multiplication is applicable on:","2 x 2 matrices","Rational numbers","Complex numbers","All of these","d","The associative property A x (B x C) = (A x B) x C holds for matrices, rational numbers and complex numbers. (Do not confuse it with the commutative property, which does NOT hold for matrix multiplication.)","medium","","oetp","net:past_paper"
"maths-ch1-q18","ch1-q18","Mathematics","maths","1","number-systems","Number Systems","chapter","Find the multiplicative inverse of the complex number z = 5 + i:","(5/26) - (1/26)i","5 - i","1 - 5i","5 + i","a","The multiplicative inverse of a complex number (a, b) is (a/(a^2 + b^2), -b/(a^2 + b^2)). For 5 + i: a = 5, b = 1, a^2 + b^2 = 26, so the inverse is 5/26 - (1/26)i.","hard","","oetp","net:past_paper"
"maths-ch1-q19","ch1-q19","Mathematics","maths","1","number-systems","Number Systems","chapter","The absolute value of z = (1 + i)/(3 - i) is:","sqrt(1/10)","sqrt(5)/5","sqrt(5)","sqrt(10)","b","Rationalize: (1 + i)/(3 - i) x (3 + i)/(3 + i) = (2 + 4i)/10 = 1/5 + (2/5)i. Then |z| = sqrt((1/5)^2 + (2/5)^2) = sqrt(5/25) = sqrt(5)/5.","hard","","oetp","net:past_paper"
"maths-ch1-q20","ch1-q20","Mathematics","maths","1","number-systems","Number Systems","chapter","For De Moivre's Theorem, n belongs to which of the following sets?","Z (Integers)","Q (Rationals)","R (Reals)","N (Naturals)","a","De Moivre's Theorem (cos@ + i sin@)^n = cos n@ + i sin n@ holds for integer exponents. It does not hold for all fractions or complex exponents, so the best possible answer is Z, the set of integers.","easy","","oetp","net:past_paper"
"maths-ch1-q21","ch1-q21","Mathematics","maths","1","number-systems","Number Systems","chapter","Find the real part in (cos@ - i sin@)^2, for @ = 45 degrees:","0","1","-1","90","a","By De Moivre's Theorem, (cos@ - i sin@)^2 = cos 2@ - i sin 2@. For @ = 45 degrees: cos 90 - i sin 90 = 0 - i = -i. The real part is 0.","medium","","oetp","net:past_paper"
"maths-ch1-q22","ch1-q22","Mathematics","maths","1","number-systems","Number Systems","chapter","Find (z-bar)^2 if z = 2 + sqrt(3) i:","4 - 3i","4 + 3i","1 - 4 sqrt(3) i","1 + 4 sqrt(3) i","c","The conjugate of z = 2 + sqrt(3) i is z-bar = 2 - sqrt(3) i. Squaring: (2 - sqrt(3) i)^2 = 4 - 4 sqrt(3) i + 3i^2 = 4 - 4 sqrt(3) i - 3 = 1 - 4 sqrt(3) i.","hard","","oetp","net:past_paper"
"maths-ch1-q23","ch1-q23","Mathematics","maths","1","number-systems","Number Systems","chapter","If a : b = c : d, then (a + b) : (a - b) = (c + d) : (c - d) represents which property?","Convertendo","Componendo-Dividendo","Componendo","Dividendo","b","The Componendo-Dividendo property states: if a : b = c : d, then (a + b) : (a - b) = (c + d) : (c - d), which is exactly the expression shown. (Note: the OCR'd source's written explanation mistakenly concluded 'Alternendo', but the source's own marked answer key is Componendo-Dividendo, which is the mathematically correct match.)","hard","","oetp","net:past_paper"
"maths-ch2-q1","ch2-q1","Mathematics","maths","2","sets-functions-and-groups","Sets, Functions and Groups","chapter","Which of the following is the associative law for sets?","A u (B u C) = (A u B) n C","A u (B u C) = A n (B u C)","A u (B u C) = (A u B) u C","None of these","c","The associative law for union of sets is A u (B u C) = (A u B) u C; grouping does not affect the result.","easy","","oetp","net:past_paper"
"maths-ch2-q2","ch2-q2","Mathematics","maths","2","sets-functions-and-groups","Sets, Functions and Groups","chapter","If A and B, B and C are overlapping sets while A and C are disjoint sets, which of the following can represent the sets A, B and C?","A = Natural Numbers, B = Even Integers, C = Odd Integers","A = Squares of natural numbers, B = Even Natural Numbers, C = Rational Numbers","A = Rational Numbers, B = Real Numbers, C = Irrational Numbers","None of these","c","Rational (A) and Real (B) overlap; Real (B) and Irrational (C) overlap; Rational (A) and Irrational (C) are disjoint. This matches the required conditions.","hard","","oetp","net:past_paper"
"maths-ch2-q3","ch2-q3","Mathematics","maths","2","sets-functions-and-groups","Sets, Functions and Groups","chapter","If A n B = A u B, what can you say about sets A and B?","A and B are disjoint sets","A and B are overlapping sets","A is a subset of B","A and B are equal sets","d","The intersection and union of two sets are equal only when the two sets contain exactly the same elements, i.e., the sets are equal.","easy","","oetp","net:past_paper"
"maths-ch2-q4","ch2-q4","Mathematics","maths","2","sets-functions-and-groups","Sets, Functions and Groups","chapter","Which of the following shows that {A} is a subset of the other set?","A = [0, A, B]","A = [0, B]","A = [A, B]","None of these","d","None of these correctly shows {A} as a subset. There is a difference between A (an element) and {A} (a set). The correct relation would be {A} subset-of {Other Set}.","hard","","oetp","net:past_paper"
"maths-ch2-q5","ch2-q5","Mathematics","maths","2","sets-functions-and-groups","Sets, Functions and Groups","chapter","If A is a subset of B then B is a superset of A. This condition holds true for which option?","A = B","A subset-of B","B subset-or-equal A","None of these","b","If A is a (proper) subset of B (A subset-of B), then B is a superset of A.","medium","","oetp","net:past_paper"
"maths-ch2-q6","ch2-q6","Mathematics","maths","2","sets-functions-and-groups","Sets, Functions and Groups","chapter","Which one of the following properties of sets is the commutative property?","A u B = B u A","A = B","A u (B u C) = (A u B) u C","A' = U - A","a","The commutative property states that order does not matter for union: A u B = B u A (similarly for intersection).","easy","","oetp","net:past_paper"
"maths-ch2-q7","ch2-q7","Mathematics","maths","2","sets-functions-and-groups","Sets, Functions and Groups","chapter","If A = {a, b, c}, the number of subsets of set A will be:","4","6","8","12","c","Number of subsets = 2^n, where n is the number of elements. A has 3 elements, so 2^3 = 8 subsets.","easy","","oetp","net:past_paper"
"maths-ch2-q8","ch2-q8","Mathematics","maths","2","sets-functions-and-groups","Sets, Functions and Groups","chapter","If A = {1, 2, 3}, B = {0, 4, 5}, find the number of subsets of A u B.","64","8","6","32","a","A u B = {0, 1, 2, 3, 4, 5} has 6 elements, so the number of subsets = 2^6 = 64.","medium","","oetp","net:past_paper"
"maths-ch2-q9","ch2-q9","Mathematics","maths","2","sets-functions-and-groups","Sets, Functions and Groups","chapter","A statement which is always false is termed as:","Contingency","Tautology","Absurdity","Negation","c","A statement always false is an absurdity (contradiction). Always true = tautology; sometimes true/false = contingency.","easy","","oetp","net:past_paper"
"maths-ch2-q10","ch2-q10","Mathematics","maths","2","sets-functions-and-groups","Sets, Functions and Groups","chapter","A n B = A n C will always be true if:","B = C","B subset-of C","C subset-of B","All of these","a","Only B = C guarantees A n B = A n C for all values of A, B and C. The subset cases hold only in some cases, not all.","hard","","oetp","net:past_paper"
